i,x1,x2,u,f,k1,k2
1,0.0,0.0,1.0,0.0,1.0,-0.6371
2,2.7735,3.3282,17.2738,1506.4,2.0441,2.788
3,2.9559,3.212,1.0,1508.0,1.0,-0.6143
4,2.9632,3.2219,4.1338,1510.6,1.9922,2.8055
5,3.0078,3.1945,1.0,1510.7,1.0,-0.6088
6,3.0082,3.195,0.9963,1510.9,1.9809,2.8115
7,3.0191,3.1885,1.0,1510.9,1.0,-0.6075
8,3.0191,3.1885,0.2405,1510.9,1.9783,2.8131
9,3.0217,3.1869,1.0,1510.9,1.0,-0.6072
10,3.0217,3.1869,0.0581,1510.9,1.9777,2.8135
11,3.0223,3.1865,1.0,1510.9,1.0,-0.6071
12,3.0223,3.1865,0.014,1510.9,1.9775,2.8136
13,3.0225,3.1864,1.0,1510.9,1.0,-0.6071
14,3.0225,3.1864,0.0034,1510.9,1.0,0.6071
