state,prob,busy,queue
0,0.010066808370023932,0,0
1,0.04026723348009573,1,0
2,0.08053446696019145,2,0
3,0.10737928928025527,3,0
4,0.12632857562382974,3,1
5,0.1329774480250839,3,2
6,0.126645188595318,3,3
7,0.11012625095245046,3,4
8,0.08810100076196037,3,5
9,0.06526000056441508,3,6
10,0.04500689694097592,3,7
11,0.029036707703855427,3,8
12,0.01759800466900329,3,9
13,0.010056002668001881,3,10
14,0.005435677117838853,3,11
15,0.0027875267270968474,3,12
16,0.001359769135169194,3,13
17,0.0006324507605438111,3,14
18,0.0002810892269083605,3,15
19,0.00011961243698228107,3,16
